feature,importance
GDP_pc,0.13765399155633484
注册地编码_62,0.13752902699128447
对美国进口比例,0.12653178868041823
注册地编码_50,0.12279954050744041
对美国贸易比例,0.10999876609977272
对美国出口比例,0.09763152229591675
month,0.05966657209796589
商品编码_74,0.05139034346808871
注册地编码_14,0.04472179248963977
注册地编码_53,0.024085488173325207
注册地编码_63,0.017551908704294412
商品编码_98,0.016636260652643335
注册地编码_34,0.012575372234239334
注册地编码_46,0.009670008141486518
商品编码_78,0.008509447379142079
商品编码_9,0.0067710090155441004
GDP,0.002898362486318202
Third,0.0028177694559354894
注册地编码_43,0.0027326508317478287
Elderly,0.001685378945680294
Population,0.0015422364434770986
注册地编码_61,0.0008959019800160932
注册地编码_22,0.0004631209021608641
注册地编码_52,0.000451104428016644
注册地编码_54,0.0004433396942438384
商品编码_72,0.0002743143073578773
商品编码_97,0.00020972050709385588
商品编码_93,0.00019349937522780713
注册地编码_42,0.00014673977379566562
注册地编码_64,0.0001448697750951206
商品编码_69,0.00014212231501805077
商品编码_38,9.812831379067307e-05
商品编码_75,9.718430596950095e-05
商品编码_43,8.643446672339906e-05
注册地编码_65,8.093583717046336e-05
注册地编码_41,7.924456267099938e-05
商品编码_91,7.648188007732436e-05
注册地编码_32,6.17421539161688e-05
注册地编码_51,5.9389689613690754e-05
商品编码_60,5.3811392037767535e-05
注册地编码_36,3.8426372131602586e-05
商品编码_88,3.498362179152573e-05
商品编码_22,3.2139259071269786e-05
商品编码_52,3.209682544104588e-05
注册地编码_12,3.1867002335341655e-05
注册地编码_23,3.186420234126784e-05
商品编码_89,3.182987380311778e-05
商品编码_66,2.66770148882891e-05
商品编码_1,2.6207842170204317e-05
注册地编码_35,2.5802710846705508e-05
商品编码_18,2.465807758765905e-05
注册地编码_13,2.1890950230647242e-05
注册地编码_37,1.778383866791875e-05
商品编码_3,1.5378390843157105e-05
商品编码_7,1.4524535441360409e-05
商品编码_24,1.451706677974123e-05
注册地编码_45,1.3561208855740383e-05
商品编码_68,1.3364172134968906e-05
商品编码_45,1.3167986575188558e-05
商品编码_26,1.1830111970186986e-05
注册地编码_15,9.132542334128696e-06
注册地编码_21,7.1136520400631995e-06
注册地编码_31,6.538311390328007e-06
商品编码_65,5.858826153715973e-06
商品编码_79,5.018722132856978e-06
商品编码_70,4.639283615553035e-06
商品编码_2,3.1733927724476493e-06
商品编码_5,2.8708053590058566e-06
商品编码_17,2.1695881120724163e-06
商品编码_92,2.1646195757613534e-06
商品编码_76,1.839035246716662e-06
商品编码_62,1.599778495324604e-06
商品编码_95,1.5385156559465008e-06
注册地编码_11,1.4554910605596531e-06
商品编码_21,1.3766047718851303e-06
商品编码_30,1.3659774911409066e-06
商品编码_34,1.0658227669224617e-06
商品编码_80,1.0299058610686932e-06
商品编码_16,8.715066303035716e-07
商品编码_81,7.721131601448684e-07
商品编码_31,7.694448383558381e-07
商品编码_84,7.493404947752501e-07
商品编码_57,7.322340305531156e-07
商品编码_83,7.057716333029552e-07
商品编码_55,6.371561565188403e-07
商品编码_10,5.694968124061335e-07
商品编码_41,5.248867734878166e-07
商品编码_20,5.146226958405419e-07
商品编码_82,4.679193891605952e-07
商品编码_61,4.0492152940953476e-07
商品编码_29,3.9180034456053504e-07
商品编码_40,3.79131435469555e-07
商品编码_73,3.4812609422030824e-07
商品编码_37,3.150270759608414e-07
商品编码_50,2.0329012366616061e-07
商品编码_64,1.7221822260940225e-07
注册地编码_33,1.6464278822299212e-07
商品编码_96,1.4281245268072856e-07
注册地编码_44,1.2032041854689385e-07
商品编码_39,1.159416612591256e-07
商品编码_87,8.302580440424793e-08
year,0.0
